Question,Condition,GeneratedSQL,ExecutionResult,ErrorMessage,Result
Show the major names and the names of their required courses.,"{""role"": ""Student"", ""identity"": []}","SELECT Majors.major_name, Courses.course_name
FROM Majors
INNER JOIN Curriculums ON Majors.major_id = Curriculums.major_id
INNER JOIN Courses ON Curriculums.course_id = Courses.course_id;",SUCCESS,,"[
  {
    ""major_name"": ""Artificial Intelligence"",
    ""course_name"": ""Machine Learning""
  },
  {
    ""major_name"": ""Artificial Intelligence"",
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""major_name"": ""Artificial Intelligence"",
    ""course_name"": ""Computer Vision""
  },
  {
    ""major_name"": ""Artificial Intelligence"",
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""major_name"": ""Artificial Intelligence"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""major_name"": ""Artificial Intelligence"",
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""major_name"": ""Information Assurance"",
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""major_name"": ""Information Assurance"",
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""major_name"": ""Information Assurance"",
    ""course_name"": ""Risk Management in Information Systems""
  },
  {
    ""major_name"": ""Information Assurance"",
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""major_name"": ""Information Assurance"",
    ""course_name"": ""Policy Development in Information Assurance""
  },
  {
    ""major_name"": ""Information Assurance"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""major_name"": ""Information System"",
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""major_name"": ""Information System"",
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""major_name"": ""Information System"",
    ""course_name"": ""Enterprise Resource Planning (ERP)""
  },
  {
    ""major_name"": ""Information System"",
    ""course_name"": ""Information System Programming Project""
  },
  {
    ""major_name"": ""Information System"",
    ""course_name"": ""Information System Design & Analysis""
  },
  {
    ""major_name"": ""Information System"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""major_name"": ""Software Engineering"",
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""major_name"": ""Software Engineering"",
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""major_name"": ""Software Engineering"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""major_name"": ""Software Engineering"",
    ""course_name"": ""Software Architecture and Design""
  },
  {
    ""major_name"": ""Software Engineering"",
    ""course_name"": ""Software development project""
  },
  {
    ""major_name"": ""Software Engineering"",
    ""course_name"": ""Software Requirement""
  }
]"
Which courses are required by more than one major?,"{""role"": ""Student"", ""identity"": []}","SELECT c.course_name
FROM Courses c
JOIN Curriculums cu ON c.course_id = cu.course_id
GROUP BY c.course_name
HAVING COUNT(DISTINCT cu.major_id) > 1;",SUCCESS,,"[
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  }
]"
Which majors require both Mathematics for Engineering and Introduction to Computer Science?,"{""role"": ""Student"", ""identity"": []}","SELECT DISTINCT m.major_name
FROM Majors m
JOIN Curriculums c ON m.major_id = c.major_id
JOIN Courses co ON c.course_id = co.course_id
WHERE co.course_name = 'Introduction to Computer Science';",SUCCESS,,"[
  {
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""major_name"": ""Information Assurance""
  },
  {
    ""major_name"": ""Information System""
  },
  {
    ""major_name"": ""Software Engineering""
  }
]"
Show the names and  number of credits of the required courses for the Information Systems major.,"{""role"": ""Student"", ""identity"": []}","SELECT c.course_name, c.no_credit
FROM Courses c
JOIN Curriculums cu ON c.course_id = cu.course_id
JOIN Majors m ON cu.major_id = m.major_id
WHERE m.major_name = 'Information System';",SUCCESS,,"[
  {
    ""course_name"": ""Computer Organization and Architecture"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Introduction to Computer Science"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Enterprise Resource Planning (ERP)"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Information System Programming Project"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Information System Design & Analysis"",
    ""no_credit"": 3
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""no_credit"": 3
  }
]"
Which course is required by the most majors?,"{""role"": ""Student"", ""identity"": []}",SELECT TOP 1 course_id FROM Curriculums GROUP BY course_id ORDER BY COUNT(*) DESC,SUCCESS,,"[
  {
    ""course_id"": ""CEA""
  }
]"
Which required courses for Software Engineering have more than 3 credits?,"{""role"": ""Student"", ""identity"": []}","SELECT c.course_name
FROM Courses c
JOIN Curriculums cu ON c.course_id = cu.course_id
JOIN Majors m ON cu.major_id = m.major_id
WHERE m.major_name = 'Software Engineering' AND c.no_credit > 3",SUCCESS,,[]
Show the courses not required in Information System major,"{""role"": ""Student"", ""identity"": []}","SELECT c.course_name
FROM Courses c
LEFT JOIN Curriculums cu ON c.course_id = cu.course_id
LEFT JOIN Majors m ON cu.major_id = m.major_id
WHERE m.major_name <> 'Information System'
OR m.major_id IS NULL;",SUCCESS,,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Computer Vision""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Risk Management in Information Systems""
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""course_name"": ""Policy Development in Information Assurance""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""course_name"": ""Software Architecture and Design""
  },
  {
    ""course_name"": ""Software development project""
  },
  {
    ""course_name"": ""Software Requirement""
  }
]"
List my courses in ascending order of the course name,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT c.course_name
FROM Enrollments e
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
WHERE e.student_id = 'HE001'
ORDER BY c.course_name ASC",SUCCESS,,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  }
]"
List the courses required for my major?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT c.course_name
FROM Courses c
JOIN Curriculums cu ON c.course_id = cu.course_id
JOIN Majors m ON cu.major_id = m.major_id
JOIN Students s ON m.major_id = s.major_id
WHERE s.student_id = 'HE001';",SUCCESS,,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Computer Vision""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  }
]"
List the instructors who taught the courses I have taken,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT DISTINCT L.fullname
FROM Enrollments AS E
JOIN ClassCourse AS CC ON E.class_course_id = CC.class_course_id
JOIN Lecturers AS L ON CC.lecturer_id = L.lecturer_id
WHERE E.student_id = 'HE001';",DB_ERROR,"Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW) executing query: SELECT DISTINCT L.fullname
FROM Enrollments AS E
JOIN ClassCourse AS CC ON E.class_course_id = CC.class_course_id
JOIN Lecturers AS L ON CC.lecturer_id = L.lecturer_id
WHERE E.student_id = 'HE001';",[]
Which majors require taking Mathematics for Engineering,"{""role"": ""Training Manager"", ""identity"": []}","SELECT T1.major_name
FROM Majors AS T1
INNER JOIN Curriculums AS T2 ON T1.major_id = T2.major_id
INNER JOIN Courses AS T3 ON T2.course_id = T3.course_id
WHERE T3.course_name = 'Mathematics for Engineering';",SUCCESS,,"[
  {
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""major_name"": ""Information Assurance""
  },
  {
    ""major_name"": ""Information System""
  },
  {
    ""major_name"": ""Software Engineering""
  }
]"
Find all students enrolled in the same courses as me?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT DISTINCT e2.student_id
FROM Enrollments e1
JOIN ClassCourse cc1 ON e1.class_course_id = cc1.class_course_id
JOIN Enrollments e2 ON cc1.class_course_id = e2.class_course_id
WHERE e1.student_id = 'HE001'
AND e1.student_id != e2.student_id;",SUCCESS,,"[
  {
    ""student_id"": ""HE002""
  },
  {
    ""student_id"": ""HE003""
  },
  {
    ""student_id"": ""HE004""
  },
  {
    ""student_id"": ""HE005""
  }
]"
Which students share a class with me but are not in my major?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT DISTINCT s.student_id
FROM Enrollments e1
JOIN ClassCourse cc ON e1.class_course_id = cc.class_course_id
JOIN Enrollments e2 ON e2.class_course_id = cc.class_course_id
JOIN Students s ON e2.student_id = s.student_id
WHERE e1.student_id = 'HE001'
AND e2.student_id != 'HE001'
AND s.major_id != (SELECT major_id FROM Students WHERE student_id = 'HE001');",SUCCESS,,[]
Which are the most difficult courses based on the average grades of all students?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT TOP 1 WITH TIES c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Enrollments e ON cc.class_course_id = e.class_course_id
GROUP BY c.course_name
ORDER BY AVG(e.average) ASC;",SUCCESS,,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  }
]"
Which student has the highest average grade across all their courses?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT TOP 1 Students.student_id
FROM Enrollments
INNER JOIN Students ON Enrollments.student_id = Students.student_id
GROUP BY Students.student_id
ORDER BY AVG(Enrollments.average) DESC;",SUCCESS,,"[
  {
    ""student_id"": ""HE011""
  }
]"
Which student currently has the highest cumulative GPA?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT TOP 1 s.student_id
FROM Enrollments e
JOIN Students s ON e.student_id = s.student_id
GROUP BY s.student_id
ORDER BY AVG(e.average) DESC;",SUCCESS,,"[
  {
    ""student_id"": ""HE011""
  }
]"
List all classes on Monday this semester.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT c.class_id
FROM Classes c
JOIN ClassCourse cc ON c.class_id = cc.class_id
JOIN Schedules s ON cc.class_course_id = s.class_course_id
WHERE DATENAME(dw, s.start_time) = 'Monday' AND cc.semester = (SELECT MAX(semester) FROM ClassCourse);",SUCCESS,,"[
  {
    ""class_id"": ""AI01""
  },
  {
    ""class_id"": ""IA01""
  }
]"
Calculate total credits I am taking this semester,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT SUM(c.no_credit) AS TotalCredits
FROM Enrollments AS e
JOIN ClassCourse AS cc ON e.class_course_id = cc.class_course_id
JOIN Courses AS c ON cc.course_id = c.course_id
WHERE e.student_id = 'HE001' AND cc.semester = (SELECT start_semester FROM Students WHERE student_id = 'HE001');",SUCCESS,,"[
  {
    ""TotalCredits"": 3
  }
]"
What is my GPA?,"{""role"": ""Student"", ""identity"": [""HE001""]}",SELECT average FROM Enrollments WHERE student_id = 'HE001',SUCCESS,,"[
  {
    ""average"": 0.0
  },
  {
    ""average"": 9.5
  },
  {
    ""average"": 0.0
  }
]"
What is my enrollment status in course MAE?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT e.status
FROM Enrollments e
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
WHERE e.student_id = 'HE001' AND c.course_name = 'MAE';",SUCCESS,,[]
What are my component scores in the MAE subject?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT
	sgd.grade_value
FROM
	StudentGradeDetails sgd
INNER JOIN
	CourseGrade cg ON sgd.course_grade_id = cg.course_grade_id
INNER JOIN
	Courses c ON cg.course_id = c.course_id
INNER JOIN
	Enrollments e ON sgd.enrollment_id = e.enrollment_id
INNER JOIN
	ClassCourse cc ON e.class_course_id = cc.class_course_id
WHERE
	e.student_id = 'HE001'
	AND c.course_name = 'MAE'",SUCCESS,,[]
What are all the grade components for 'Mathematics for Engineering' and what's the average for each?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT cg.grade_name, AVG(sgd.grade_value) AS average_grade
FROM Courses c
JOIN CourseGrade cg ON c.course_id = cg.course_id
JOIN StudentGradeDetails sgd ON cg.course_grade_id = sgd.course_grade_id
WHERE c.course_name = 'Mathematics for Engineering'
GROUP BY cg.grade_name;",SUCCESS,,"[
  {
    ""grade_name"": ""Assignment"",
    ""average_grade"": 7.289999999999999
  },
  {
    ""grade_name"": ""Final Exam"",
    ""average_grade"": 7.87
  },
  {
    ""grade_name"": ""Progress Test"",
    ""average_grade"": 7.83
  }
]"
Which students have a Practical Exam grade higher than 7 in Malware Analysis and Reverse Engineering?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT Students.student_id
FROM Students
INNER JOIN Enrollments ON Students.student_id = Enrollments.student_id
INNER JOIN ClassCourse ON Enrollments.class_course_id = ClassCourse.class_course_id
INNER JOIN Courses ON ClassCourse.course_id = Courses.course_id
INNER JOIN StudentGradeDetails ON Enrollments.enrollment_id = StudentGradeDetails.enrollment_id
INNER JOIN CourseGrade ON StudentGradeDetails.course_grade_id = CourseGrade.course_grade_id
WHERE Courses.course_name = 'Malware Analysis and Reverse Engineering'
  AND CourseGrade.grade_name = 'Practical Exam'
  AND StudentGradeDetails.grade_value > 7;",SUCCESS,,"[
  {
    ""student_id"": ""HE011""
  },
  {
    ""student_id"": ""HE012""
  },
  {
    ""student_id"": ""HE013""
  }
]"
Show my Assignment grade for Malware Analysis and Reverse Engineering.,"{""role"": ""Student"", ""identity"": [""HE011""]}","SELECT g.grade_value
FROM StudentGradeDetails AS g
INNER JOIN CourseGrade AS cg ON g.course_grade_id = cg.course_grade_id
INNER JOIN Courses AS c ON cg.course_id = c.course_id
INNER JOIN Enrollments AS e ON g.enrollment_id = e.enrollment_id
WHERE e.student_id = 'HE011'
  AND cg.grade_name = 'Assignment'
  AND c.course_name = 'Malware Analysis and Reverse Engineering';",SUCCESS,,"[
  {
    ""grade_value"": 9.0
  }
]"
What's the weight of the Final Exam in Natural Language Processing?,"{""role"": ""Student"", ""identity"": []}",SELECT grade_weight FROM CourseGrade WHERE course_id = (SELECT course_id FROM Courses WHERE course_name = 'Natural Language Processing') AND grade_name = 'Final Exam',SUCCESS,,"[
  {
    ""grade_weight"": 0.3
  }
]"
Show all my grades and their weights in course MAE,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT
	c.course_name,
	cg.grade_name,
	cg.grade_weight,
	sgd.grade_value
FROM
	Enrollments AS e
INNER JOIN
	ClassCourse AS cc
ON
	e.class_course_id = cc.class_course_id
INNER JOIN
	Courses AS c
ON
	cc.course_id = c.course_id
INNER JOIN
	CourseGrade AS cg
ON
	c.course_id = cg.course_id
INNER JOIN
	StudentGradeDetails AS sgd
ON
	e.enrollment_id = sgd.enrollment_id AND cg.course_grade_id = sgd.course_grade_id
WHERE
	e.student_id = 'HE001' AND c.course_name = 'MAE'",SUCCESS,,[]
Show the course grades and comments for each assignment in MAE for my enrollment,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT
	sgd.grade_value,
	sgd.comment
FROM
	StudentGradeDetails sgd
INNER JOIN
	CourseGrade cg ON sgd.course_grade_id = cg.course_grade_id
INNER JOIN
	Enrollments e ON sgd.enrollment_id = e.enrollment_id
INNER JOIN
	ClassCourse cc ON e.class_course_id = cc.class_course_id
WHERE
	e.student_id = 'HE001'
	AND cc.course_id = 'MAE'
	AND cg.grade_name LIKE '%Assignment%'",SUCCESS,,"[
  {
    ""grade_value"": 9.2,
    ""comment"": ""Grade Recorded""
  }
]"
Find the average grade for all students in the course MAE,"{""role"": ""Training Manager"", ""identity"": []}","SELECT AVG(E.average) AS AverageGrade
FROM Enrollments AS E
INNER JOIN ClassCourse AS CC ON E.class_course_id = CC.class_course_id
INNER JOIN Courses AS C ON CC.course_id = C.course_id
WHERE C.course_id = 'MAE';",SUCCESS,,"[
  {
    ""AverageGrade"": 7.684
  }
]"
Show my enrollement information (include my class and corresponding course) for courses where my average grade is above 8.,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT e.enrollment_id, c.class_id, co.course_id, co.course_name, e.average
FROM Enrollments e
JOIN ClassCourse co ON e.class_course_id = co.class_course_id
JOIN Classes c ON co.class_id = c.class_id
WHERE e.student_id = 'HE001' AND e.average > 8;",DB_ERROR,"Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'course_name'. (207) (SQLExecDirectW) executing query: SELECT e.enrollment_id, c.class_id, co.course_id, co.course_name, e.average
FROM Enrollments e
JOIN ClassCourse co ON e.class_course_id = co.class_course_id
JOIN Classes c ON co.class_id = c.class_id
WHERE e.student_id = 'HE001' AND e.average > 8;",[]
What is the highest grade value I received in course MAE?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT MAX(sgd.grade_value)
FROM StudentGradeDetails sgd
INNER JOIN CourseGrade cg ON sgd.course_grade_id = cg.course_grade_id
INNER JOIN Enrollments e ON sgd.enrollment_id = e.enrollment_id
INNER JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
WHERE e.student_id = 'HE001' AND cc.course_id = 'MAE';",SUCCESS,,"[
  {
    """": 9.8
  }
]"
What is the average grade value of each of my completed courses/subjects?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT AVG(sgd.grade_value) AS average_grade
FROM Enrollments AS e
JOIN StudentGradeDetails AS sgd ON e.enrollment_id = sgd.enrollment_id
JOIN ClassCourse AS cc ON e.class_course_id = cc.class_course_id
WHERE e.student_id = 'HE001' AND e.status = 'Passed'
GROUP BY cc.class_course_id;",SUCCESS,,"[
  {
    ""average_grade"": 9.466666666666667
  }
]"
What was the course and class information corresponding to my top 5  highest grade?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT TOP 5 c.course_name, cl.class_id
FROM Enrollments e
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
JOIN Classes cl ON cc.class_id = cl.class_id
WHERE e.student_id = 'HE001'
ORDER BY e.average DESC;",SUCCESS,,"[
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""class_id"": ""AI01""
  },
  {
    ""course_name"": ""Natural Language Processing"",
    ""class_id"": ""AI01""
  },
  {
    ""course_name"": ""Machine Learning"",
    ""class_id"": ""AI01""
  }
]"
Which courses have a grade name called Final Exam?,"{""role"": ""Student"", ""identity"": []}","SELECT DISTINCT c.course_name
FROM Courses c
JOIN CourseGrade cg ON c.course_id = cg.course_id
WHERE cg.grade_name = 'Final Exam';",SUCCESS,,"[
  {
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_name"": ""Computer Vision""
  },
  {
    ""course_name"": ""Enterprise Resource Planning (ERP)""
  },
  {
    ""course_name"": ""Information System Design & Analysis""
  },
  {
    ""course_name"": ""Information System Programming Project""
  },
  {
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  },
  {
    ""course_name"": ""Policy Development in Information Assurance""
  },
  {
    ""course_name"": ""Risk Management in Information Systems""
  },
  {
    ""course_name"": ""Software Architecture and Design""
  },
  {
    ""course_name"": ""Software development project""
  },
  {
    ""course_name"": ""Software Requirement""
  }
]"
List the grades for the courses I've Passed.,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT c.course_name,sgd.grade_value
FROM Enrollments e
JOIN ClassCourse cc ON e.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
JOIN StudentGradeDetails sgd ON e.enrollment_id = sgd.enrollment_id
WHERE e.student_id = 'HE001' AND e.status = 'Passed'",SUCCESS,,"[
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""grade_value"": 9.2
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""grade_value"": 9.8
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""grade_value"": 9.4
  }
]"
Which course has the highest number of students passing the subject?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT TOP 1 c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Enrollments e ON cc.class_course_id = e.class_course_id
WHERE e.status = 'Passed'
GROUP BY c.course_name
ORDER BY COUNT(e.enrollment_id) DESC;",SUCCESS,,"[
  {
    ""course_name"": ""Mathematics for Engineering""
  }
]"
Show my transcript including course name grade and credits for each course,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT c.course_name, AVG(sgd.grade_value) AS grade, c.no_credit AS credits
FROM Enrollments AS e
JOIN ClassCourse AS cc ON e.class_course_id = cc.class_course_id
JOIN Courses AS c ON cc.course_id = c.course_id
JOIN StudentGradeDetails AS sgd ON e.enrollment_id = sgd.enrollment_id
WHERE e.student_id = 'HE001'
GROUP BY c.course_name, c.no_credit;",SUCCESS,,"[
  {
    ""course_name"": ""Machine Learning"",
    ""grade"": 8.5,
    ""credits"": 3
  },
  {
    ""course_name"": ""Mathematics for Engineering"",
    ""grade"": 9.466666666666667,
    ""credits"": 3
  },
  {
    ""course_name"": ""Natural Language Processing"",
    ""grade"": 9.066666666666666,
    ""credits"": 3
  }
]"
Show the academic standing of the students in the classes that I have taught.,"{""role"": ""Lecturer"", ""identity"": [""LEC01""]}","SELECT E.student_id, S.fullname, E.average, E.status
FROM Enrollments AS E
JOIN ClassCourse AS CC ON E.class_course_id = CC.class_course_id
JOIN Lecturers AS L ON CC.lecturer_id = L.lecturer_id
JOIN Students AS ST ON E.student_id = ST.student_id
JOIN Users AS S ON ST.student_id = S.user_id
WHERE L.lecturer_id = 'LEC01';",SUCCESS,,"[
  {
    ""student_id"": ""HE001"",
    ""fullname"": ""Student A"",
    ""average"": 0.0,
    ""status"": ""Studying""
  },
  {
    ""student_id"": ""HE002"",
    ""fullname"": ""Student B"",
    ""average"": 0.0,
    ""status"": ""Studying""
  },
  {
    ""student_id"": ""HE003"",
    ""fullname"": ""Student C"",
    ""average"": 0.0,
    ""status"": ""Studying""
  },
  {
    ""student_id"": ""HE004"",
    ""fullname"": ""Student D"",
    ""average"": 0.0,
    ""status"": ""Studying""
  },
  {
    ""student_id"": ""HE005"",
    ""fullname"": ""Student E"",
    ""average"": 0.0,
    ""status"": ""Studying""
  },
  {
    ""student_id"": ""HE011"",
    ""fullname"": ""Student K"",
    ""average"": 9.7,
    ""status"": ""Passed""
  },
  {
    ""student_id"": ""HE012"",
    ""fullname"": ""Student L"",
    ""average"": 6.87,
    ""status"": ""Passed""
  },
  {
    ""student_id"": ""HE013"",
    ""fullname"": ""Student M"",
    ""average"": 7.0,
    ""status"": ""Attendance Failure""
  },
  {
    ""student_id"": ""HE014"",
    ""fullname"": ""Student N"",
    ""average"": 6.33,
    ""status"": ""Passed""
  },
  {
    ""student_id"": ""HE015"",
    ""fullname"": ""Student O"",
    ""average"": 8.0,
    ""status"": ""Passed""
  }
]"
